Region,Year,MenB,MenC,Known serogroup,Total cases,Pop,MenB per 100000,MenC per 100000,Known serogroup per 100000,Total cases per 100000
Abruzzo,2014,0,0,1,1,1329918.0,0.0,0.0,0.07519260585991015,0.07519260585991015
Abruzzo,2015,1,0,1,4,1325836.0,0.0754241097692324,0.0,0.0754241097692324,0.3016964390769296
Abruzzo,2016,1,1,2,3,1319294.0,0.07579811626521457,0.07579811626521457,0.15159623253042914,0.2273943487956437
Abruzzo,2017,1,1,2,3,1313930.0,0.0761075551970044,0.0761075551970044,0.1522151103940088,0.22832266559101322
Abruzzo,2018,1,1,3,3,1306059.0,0.0765662194433789,0.0765662194433789,0.2296986583301367,0.2296986583301367
Abruzzo,2019,3,0,3,4,1300645.0,0.2306547905077865,0.0,0.2306547905077865,0.3075397206770487
Abruzzo,2020,0,0,0,0,1293941.0,0.0,0.0,0.0,0.0
Abruzzo,2021,0,0,0,0,1281012.0,0.0,0.0,0.0,0.0
Abruzzo,2022,0,1,2,2,1275950.0,0.0,0.07837297699753125,0.1567459539950625,0.1567459539950625
Abruzzo,2023,0,2,3,3,1272627.0,0.0,0.15715523873059425,0.2357328580958914,0.2357328580958914
Basilicata,2014,0,0,1,1,575814.0,0.0,0.0,0.1736671911415839,0.1736671911415839
Basilicata,2015,0,0,0,1,573236.0,0.0,0.0,0.0,0.17444822027925672
Basilicata,2016,0,1,2,2,569887.0,0.0,0.17547338331985113,0.35094676663970226,0.35094676663970226
Basilicata,2017,0,1,1,1,566405.0,0.0,0.17655211377018212,0.17655211377018212,0.17655211377018212
Basilicata,2018,0,0,0,1,562968.0,0.0,0.0,0.0,0.1776299896264086
Basilicata,2019,0,0,0,1,558587.0,0.0,0.0,0.0,0.1790231423216079
Basilicata,2020,0,0,0,0,553254.0,0.0,0.0,0.0,0.0
Basilicata,2021,0,0,0,0,545130.0,0.0,0.0,0.0,0.0
Basilicata,2022,0,0,0,0,541168.0,0.0,0.0,0.0,0.0
Basilicata,2023,0,0,0,0,537577.0,0.0,0.0,0.0,0.0
Calabria,2014,0,0,1,1,1958226.0,0.0,0.0,0.05106662867309494,0.05106662867309494
Calabria,2015,0,1,1,1,1951733.0,0.0,0.0512365164702344,0.0512365164702344,0.0512365164702344
Calabria,2016,0,2,2,3,1943085.0,0.0,0.1029291050056997,0.1029291050056997,0.15439365750854955
Calabria,2017,0,0,0,0,1935097.0,0.0,0.0,0.0,0.0
Calabria,2018,0,0,0,0,1924257.0,0.0,0.0,0.0,0.0
Calabria,2019,0,0,0,2,1912021.0,0.0,0.0,0.0,0.1046013615959239
Calabria,2020,1,0,1,1,1894110.0,0.05279524420440206,0.0,0.05279524420440206,0.05279524420440206
Calabria,2021,0,0,0,0,1860601.0,0.0,0.0,0.0,0.0
Calabria,2022,0,0,0,1,1855454.0,0.0,0.0,0.0,0.05389516528030336
