Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Abruzzo,10689,11200.0,11196.0,11578.0,11317.0,11693.0,11519.0,11393.0,11490.0,11570.0,11490.0,11266.0,11756.0,11850.0,11682.0,11938.0,11844.0,12090.0,12252.0,12724.0,13352.0,13852.0,14045.0,14481.0,14568.0,14797.0,14605.0,14877.0,15504.0,15745.0,15730.0,16414.0,16174.0,16539.0,17267.0,17843.0,17970.0,18830.0,19211.0,20016.0,19813.0,20341.0,20770.0,20411.0,21255.0,21127.0,21249.0,21473.0,21655.0,21828.0,20463.0,19696.0,19482.0,19088.0,18811.0,18152.0,17989.0,17676.0,17591.0,17304.0,16333.0,16150.0,16300.0,16867.0,17122.0,17379.0,16594.0,16087.0,12033.0,13030.0,12626.0,12238.0,12292.0,14068.0,14057.0,12904.0,12757.0,11825.0,11964.0,11298.0,11299.0,9962.0,9848.0,9946.0,8282.0,7599.0,7055.0,6118.0,5429.0,4488.0,3738.0,3229.0,2679.0,2067.0,1116.0,602.0,457.0,487.0,396.0,249.0,417.0,1329918.0,2014
Abruzzo,10407,10617.0,11163.0,11204.0,11579.0,11330.0,11678.0,11514.0,11372.0,11483.0,11563.0,11493.0,11276.0,11752.0,11860.0,11694.0,11931.0,11869.0,12151.0,12275.0,12759.0,13411.0,13907.0,14079.0,14523.0,14603.0,14770.0,14604.0,14866.0,15442.0,15742.0,15698.0,16334.0,16122.0,16515.0,17237.0,17872.0,17938.0,18837.0,19187.0,19995.0,19751.0,20319.0,20788.0,20373.0,21233.0,21077.0,21270.0,21460.0,21580.0,21765.0,20398.0,19664.0,19411.0,19035.0,18762.0,18055.0,17906.0,17601.0,17559.0,17235.0,16237.0,16068.0,16134.0,16741.0,17041.0,17240.0,16414.0,15902.0,11934.0,12834.0,12431.0,12010.0,12095.0,13777.0,13769.0,12550.0,12435.0,11481.0,11551.0,10855.0,10790.0,9483.0,9255.0,9278.0,7692.0,7023.0,6392.0,5482.0,4762.0,3879.0,3187.0,2691.0,2156.0,1657.0,841.0,468.0,316.0,367.0,288.0,436.0,1325836.0,2015
Abruzzo,10123,10350.0,10583.0,11127.0,11170.0,11547.0,11283.0,11672.0,11474.0,11356.0,11508.0,11540.0,11467.0,11293.0,11726.0,11850.0,11697.0,11944.0,11919.0,12218.0,12288.0,12819.0,13503.0,13969.0,14090.0,14512.0,14515.0,14781.0,14530.0,14765.0,15368.0,15608.0,15607.0,16241.0,16103.0,16490.0,17143.0,17831.0,17891.0,18818.0,19146.0,19982.0,19739.0,20289.0,20766.0,20322.0,21206.0,21008.0,21217.0,21385.0,21512.0,21677.0,20317.0,19586.0,19316.0,18992.0,18673.0,17987.0,17790.0,17537.0,17451.0,17132.0,16134.0,15977.0,16019.0,16623.0,16902.0,17073.0,16237.0,15689.0,11773.0,12656.0,12242.0,11781.0,11811.0,13483.0,13440.0,12207.0,12008.0,11082.0,11077.0,10375.0,10199.0,8928.0,8616.0,8541.0,7025.0,6354.0,5656.0,4716.0,4044.0,3261.0,2611.0,2161.0,1697.0,1250.0,637.0,331.0,228.0,248.0,453.0,1319294.0,2016
Abruzzo,9969,10097.0,10342.0,10509.0,11053.0,11145.0,11541.0,11260.0,11671.0,11468.0,11358.0,11495.0,11521.0,11464.0,11313.0,11716.0,11847.0,11711.0,12084.0,12073.0,12305.0,12451.0,12907.0,13555.0,14030.0,14084.0,14482.0,14460.0,14749.0,14478.0,14774.0,15247.0,15496.0,15470.0,16114.0,16002.0,16429.0,17052.0,17767.0,17818.0,18730.0,19127.0,19941.0,19717.0,20246.0,20704.0,20308.0,21162.0,20953.0,21179.0,21346.0,21417.0,21608.0,20246.0,19506.0,19210.0,18913.0,18631.0,17923.0,17735.0,17452.0,17379.0,17062.0,16018.0,15886.0,15931.0,16481.0,16731.0,16937.0,16030.0,15482.0,11639.0,12482.0,12030.0,11574.0,11600.0,13151.0,13107.0,11877.0,11568.0,10685.0,10601.0,9877.0,9601.0,8357.0,7997.0,7804.0,6344.0,5689.0,5006.0,4069.0,3403.0,2723.0,2162.0,1737.0,1310.0,931.0,459.0,229.0,160.0,460.0,1313930.0,2017
Abruzzo,9392,9900.0,10095.0,10275.0,10452.0,10971.0,11099.0,11510.0,11251.0,11659.0,11480.0,11338.0,11488.0,11494.0,11455.0,11306.0,11713.0,11878.0,11860.0,12305.0,12262.0,12449.0,12534.0,12992.0,13554.0,14097.0,14067.0,14407.0,14354.0,14694.0,14320.0,14672.0,15100.0,15365.0,15328.0,16043.0,15932.0,16321.0,16962.0,17681.0,17724.0,18622.0,19047.0,19844.0,19664.0,20158.0,20602.0,20237.0,21095.0,20917.0,21135.0,21282.0,21359.0,21493.0,20208.0,19437.0,19147.0,18828.0,18553.0,17839.0,17623.0,17324.0,17296.0,16964.0,15887.0,15776.0,15781.0,16292.0,16562.0,16749.0,15796.0,15251.0,11434.0,12247.0,11758.0,11310.0,11332.0,12808.0,12715.0,11446.0,11108.0,10184.0,10059.0,9298.0,8944.0,7733.0,7267.0,7041.0,5628.0,4916.0,4309.0,3400.0,2750.0,2191.0,1710.0,1331.0,1011.0,690.0,334.0,156.0,402.0,1306059.0,2018
Abruzzo,8730,9426.0,9906.0,10077.0,10261.0,10438.0,10949.0,11103.0,11512.0,11277.0,11689.0,11460.0,11355.0,11499.0,11541.0,11472.0,11336.0,11718.0,11987.0,12065.0,12399.0,12374.0,12603.0,12583.0,13082.0,13545.0,14075.0,13989.0,14272.0,14328.0,14572.0,14251.0,14648.0,15059.0,15292.0,15280.0,15997.0,15893.0,16306.0,16940.0,17618.0,17728.0,18571.0,19017.0,19849.0,19655.0,20190.0,20601.0,20202.0,21062.0,20884.0,21090.0,21254.0,21290.0,21425.0,20176.0,19385.0,19082.0,18801.0,18497.0,17781.0,17532.0,17264.0,17230.0,16864.0,15790.0,15688.0,15685.0,16147.0,16394.0,16560.0,15570.0,15035.0,11225.0,12025.0,11497.0,11059.0,11024.0,12452.0,12315.0,11046.0,10640.0,9722.0,9471.0,8665.0,8310.0,7098.0,6619.0,6316.0,4984.0,4228.0,3682.0,2836.0,2258.0,1773.0,1335.0,1000.0,754.0,490.0,230.0,385.0,1300645.0,2019
Abruzzo,8372,8810.0,9436.0,9971.0,10085.0,10300.0,10453.0,10966.0,11115.0,11479.0,11286.0,11691.0,11487.0,11364.0,11488.0,11594.0,11513.0,11386.0,11793.0,12059.0,12025.0,12419.0,12361.0,12600.0,12479.0,12992.0,13374.0,13928.0,13842.0,14063.0,14136.0,14409.0,14156.0,14547.0,14947.0,15232.0,15229.0,15931.0,15835.0,16291.0,16930.0,17594.0,17738.0,18493.0,19005.0,19819.0,19575.0,20194.0,20558.0,20154.0,21054.0,20872.0,21060.0,21245.0,21272.0,21378.0,20132.0,19393.0,19039.0,18712.0,18421.0,17733.0,17472.0,17178.0,17188.0,16796.0,15728.0,15599.0,15596.0,15994.0,16233.0,16349.0,15403.0,14841.0,11066.0,11792.0,11286.0,10827.0,10736.0,12039.0,11902.0,10598.0,10210.0,9233.0,8885.0,8051.0,7676.0,6435.0,5931.0,5567.0,4339.0,3578.0,3089.0,2326.0,1789.0,1396.0,1002.0,745.0,526.0,332.0,393.0,1293941.0,2020
Abruzzo,8249,8577.0,8939.0,9618.0,10121.0,10299.0,10354.0,10483.0,11035.0,11189.0,11488.0,11341.0,11726.0,11543.0,11412.0,11569.0,11653.0,11579.0,11463.0,11804.0,12103.0,12029.0,12394.0,12338.0,12482.0,12405.0,12806.0,13071.0,13561.0,13498.0,13746.0,13750.0,14019.0,13826.0,14295.0,14744.0,15018.0,14987.0,15739.0,15676.0,16158.0,16777.0,17424.0,17641.0,18344.0,18889.0,19695.0,19489.0,20082.0,20421.0,20048.0,20932.0,20688.0,20865.0,21082.0,21101.0,21239.0,19935.0,19236.0,18840.0,18535.0,18224.0,17482.0,17284.0,16961.0,16963.0,16580.0,15509.0,15501.0,15454.0,15828.0,16022.0,16119.0,15150.0,14583.0,10831.0,11491.0,11012.0,10497.0,10342.0,11581.0,11408.0,10077.0,9655.0,8573.0,8237.0,7334.0,6879.0,5730.0,5197.0,4810.0,3652.0,2922.0,2457.0,1777.0,1378.0,1046.0,715.0,534.0,382.0,485.0,1281012.0,2021
Abruzzo,8261,8328.0,8619.0,8970.0,9626.0,10090.0,10273.0,10403.0,10567.0,11112.0,11258.0,11568.0,11409.0,11812.0,11620.0,11484.0,11625.0,11742.0,11601.0,11453.0,11806.0,12047.0,11988.0,12321.0,12195.0,12433.0,12329.0,12704.0,12998.0,13459.0,13443.0,13716.0,13708.0,14024.0,13821.0,14305.0,14783.0,15030.0,15002.0,15768.0,15721.0,16176.0,16846.0,17515.0,17650.0,18448.0,18973.0,19800.0,19546.0,20106.0,20464.0,20085.0,20987.0,20710.0,20916.0,21158.0,21175.0,21237.0,20015.0,19239.0,18848.0,18567.0,18238.0,17469.0,17243.0,16918.0,16861.0,16485.0,15431.0,15326.0,15232.0,15615.0,15782.0,15883.0,14843.0,14284.0,10563.0,11169.0,10672.0,10129.0,9951.0,11063.0,10833.0,9514.0,9009.0,7933.0,7540.0,6641.0,6125.0,4972.0,4492.0,4038.0,3011.0,2316.0,1897.0,1332.0,1050.0,768.0,488.0,367.0,584.0,1275950.0,2022
Abruzzo,8017,8313.0,8473.0,8678.0,9037.0,9675.0,10134.0,10327.0,10468.0,10609.0,11194.0,11325.0,11615.0,11450.0,11864.0,11671.0,11537.0,11731.0,11890.0,11742.0,11579.0,11964.0,12209.0,12125.0,12446.0,12296.0,12432.0,12302.0,12701.0,12960.0,13420.0,13426.0,13763.0,13762.0,14106.0,13851.0,14388.0,14856.0,15094.0,15123.0,15864.0,15754.0,16245.0,16917.0,17553.0,17723.0,18516.0,19020.0,19842.0,19612.0,20127.0,20507.0,20113.0,21014.0,20752.0,20932.0,21157.0,21180.0,21260.0,20027.0,19249.0,18840.0,18546.0,18188.0,17421.0,17136.0,16865.0,16818.0,16400.0,15288.0,15156.0,15065.0,15435.0,15572.0,15583.0,14570.0,13960.0,10293.0,10844.0,10322.0,9724.0,9500.0,10530.0,10222.0,8886.0,8353.0,7215.0,6796.0,5832.0,5331.0,4253.0,3751.0,3326.0,2388.0,1806.0,1404.0,925.0,725.0,502.0,344.0,595.0,1272627.0,2023
