"Tutte le cittadinanze - Anno: 2014"
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Codice regione;Regione;Totale
01;Piemonte;35618;37202;37407;38251;39373;39592;39489;38883;38548;38345;38434;37731;37796;39019;37791;37883;37533;36969;37084;37472;37812;39124;39621;40530;40387;41776;41258;42572;44197;44684;46355;48670;49114;50477;52247;55750;58793;61629;65469;68203;68231;69795;71069;70578;72945;72494;72489;72917;72918;73891;69037;66479;65735;63771;62437;60650;60489;59387;58306;57388;55492;55731;54792;57200;57861;61037;59698;58387;44668;48038;47743;48378;48832;53277;52839;51327;46841;43199;43094;39971;37614;36138;34300;33638;29158;26000;23204;20147;17390;14643;12535;10498;8577;6541;3319;2016;1571;1395;1308;966;1467
02;Valle D'Aosta/Vallée D'Aoste;1054;1171;1210;1194;1273;1236;1247;1249;1164;1173;1199;1147;1199;1226;1186;1134;1074;1165;1075;1067;1089;1165;1150;1209;1206;1285;1274;1291;1310;1344;1398;1425;1326;1490;1427;1740;1637;1784;1899;2005;2018;2051;2143;2098;2256;2181;2211;2239;2183;2319;2158;1954;1977;1809;1909;1721;1731;1698;1690;1672;1623;1560;1574;1598;1651;1711;1603;1532;1185;1279;1343;1380;1388;1436;1344;1348;1169;1089;1046;967;970;890;887;895;773;707;624;563;456;362;323;310;241;166;98;65;47;35;32;28;32
03;Lombardia;88203;92153;93733;96813;98760;98773;97390;97660;95148;95188;93212;91926;92728;93571;91094;90456;89478;88461;87081;87658;89304;91676;92235;93887;94976;98492;97502;99023;104484;107855;112312;117723;119716;122987;127117;135083;141738;147926;158442;164076;163771;165604;166099;164847;169238;168682;168042;171454;170203;169386;158220;150226;145652;140731;137188;130694;128401;126465;122764;120477;116788;116238;115309;120201;121359;125798;121980;125631;92511;99058;97724;99532;101664;109911;107164;102678;91844;83024;83806;77631;72455;68860;64584;61787;53900;48419;43025;37473;32704;28439;24140;19132;15985;12278;6383;3620;2962;2622;2435;1791;2740
04;Trentino-Alto Adige/Südtirol;10345;10609;10703;10988;10819;11089;10981;11028;11171;11295;11017;10969;11228;11462;11394;11373;11369;11292;10985;11127;11071;11385;11330;11399;11298;11457;11331;11387;11664;11865;12349;12641;12621;12821;12912;13637;13773;14234;15058;15963;16113;16341;16919;16740;17641;17460;17383;17771;17947;17851;16741;15888;15849;15234;14731;13850;13552;13143;12614;12213;12009;11740;11472;11860;11291;11701;11432;12278;8726;10022;10604;10473;10500;9984;9613;9074;8120;7561;7431;7108;6799;6466;6148;6086;5272;4899;4424;3952;3583;3136;2837;2345;1923;1490;817;339;257;208;237;213;351
05;Veneto;41844;44207;45008;46444;46945;48110;47348;47381;47049;47526;46454;45919;45595;47317;46163;46084;45843;45172;44259;44598;45013;46768;46407;47548;47434;48656;47072;48090;50999;51718;52696;55019;56380;58252;61119;65418;67954;71338;74952;79983;79425;80680;81811;82005;84082;83173;83935;84617;84838;85537;79963;76999;75454;71440;71047;66557;65271;64064;61922;60913;58852;58021;57252;59576;58846;60592;59194;64028;43698;50673;51564;49819;49442;51935;50365;48394;43502;40029;40088;37825;34112;32823;31015;30298;26038;24705;22895;19990;17672;15014;13249;10550;8583;6957;3451;2008;1603;1344;1356;1013;1526
06;Friuli-Venezia Giulia;9388;9837;10006;10430;10549;10505;10731;10645;10426;10534;10405;10266;10436;10611;10197;10143;9982;10152;9778;9764;9929;10593;10535;10832;10955;11243;10828;11384;11918;12236;12456;13140;13320;13756;14402;15659;15845;16797;17813;19321;19188;19741;19800;19992;20243;20116;20358;20352;20670;21046;19964;18812;18449;17778;17630;16631;16307;16132;15835;15660;15510;15385;15282;16261;16108;17210;17157;18099;12374;14808;14560;14617;14790;15560;14737;14028;12686;11452;11148;10210;9650;9195;8666;8642;7592;6922;6461;6046;5292;4780;4213;3506;3088;2394;1186;603;518;443;438;330;586
07;Liguria;10969;11613;11376;11803;12342;12613;12356;12480;12409;12507;12234;12523;12535;12685;12437;12524;12518;12752;12393;12636;12875;13608;13444;13508;13649;13928;13604;13449;14149;14334;14680;14737;15379;15326;16001;17408;18514;19541;21167;22540;23000;24126;24328;24619;25340;25583;25529;26617;27136;27375;25742;24842;24043;23285;23015;22171;21877;21280;20611;20697;20079;19532;19443;20812;21237;22526;23242;23509;17056;19294;18784;19387;19937;21486;21057;20800;19079;17534;17270;16276;15741;15187;14630;14407;12906;11554;10296;9140;7980;6796;5989;4971;4102;3235;1605;1125;870;744;683;493;766
08;Emilia-Romagna;37987;39539;40339;41707;42406;42046;41713;41153;40395;39817;38797;38927;38686;39104;37461;37168;36920;36423;35804;36363;36748;37943;38629;39414;39435;40272;40640;41737;44549;46200;48168;50227;51362;53539;56180;60357;62978;66421;70011;73525;73555;74125;74597;73509;74608;74114;73041;73949;73045;74358;69424;67184;65724;63767;62292;59429;59141;58331;55925;54538;52109;51429;51012;53439;54093;57115;56870;57723;40880;45516;45264;44609;45666;49474;48575;48264;43567;39569;41153;39588;36415;33521;32823;32227;28293;26292;24067;21135;19652;16812;14830;12087;10145;7779;4201;2330;1841;1706;1534;1126;1764
09;Toscana;29465;31284;31665;32513;32619;33632;33427;32946;32822;32771;31965;32117;31986;32148;30902;31080;30820;30510;30347;30812;31237;32711;33088;34176;34208;35890;35093;35458;37692;38591;39852;41203;42036;43536;45680;48822;50823;53568;56298;59006;59467;60231;60640;59698;61388;60588;60893;61893;62029;62525;58499;56590;55322;53795;52471;50636;49735;49009;48015;47568;45271;45038;44925;46396;48440;51875;51655;52040;40524;40300;40688;38950;40141;44905;43180;43357;38834;35243;35755;33093;31383;29411;29144;28529;24946;23299;21252;18639;16709;14705;12564;10252;8780;6863;3417;1853;1399;1345;1213;896;1293
10;Umbria;7316;7566;7623;7858;7840;8276;8159;8057;8016;7766;7672;7694;7590;7735;7592;7509;7464;7510;7591;7605;7895;8362;8274;8544;8809;9204;8984;9212;9504;9558;10325;10151;10508;10635;11127;11650;12076;12562;13143;13715;13650;13569;13677;13469;13949;13971;13808;13882;14328;14459;13501;13143;13092;13023;12420;11742;11540;11689;11470;11264;11005;10398;10962;11088;11582;12307;11449;11077;8859;9407;9884;9145;9260;10266;9957;10226;9072;8290;8438;8237;7754;7072;7312;7118;5994;5576;5247;4764;4150;3640;3111;2492;2142;1617;862;480;417;323;294;191;311
11;Marche;12604;13137;13742;13907;14188;14281;14035;13828;13812;13746;13578;13707;13503;14017;13741;13916;13709;13649;13891;13813;14288;14962;15012;15386;15243;15727;15343;15986;16403;16599;17096;17819;17965;18739;19651;20864;21446;22104;23230;23790;23415;23838;24480;23861;24643;24429;24490;24640;24473;25137;23903;22700;22944;22184;21600;21068;20508;20732;19924;19288;18822;18678;18978;19384;18650;19289;18719;18918;15528;15088;15844;15084;15033;17120;17419;17446;15763;14478;14839;13969;13194;11796;12272;11882;10090;9774;9058;7893;7251;5945;5141;4217;3522;2895;1409;769;606;588;526;341;546
12;Lazio;51899;53542;53200;53910;54319;54792;54714;54399;52680;52786;52380;51352;51535;52213;51108;51453;51173;51361;51969;53038;54475;56797;56632;58158;58401;60211;59939;60161;62890;65144;67072;69737;71135;72679;75697;80303;82365;85856;90396;94448;94512;95641;95831;95805;97230;96279;96619;97283;97339;98813;92726;88842;86605;82976;80730;77494;76197;74406;73403;71864;67889;66318;65693;67627;67435;71307;70711;68804;53648;53940;56409;54505;54863;59966;57817;55282;50826;46899;46691;44038;40752;37437;36139;35308;29839;26503;24005;21045;17946;15529;13359;10709;8761;6960;3416;2010;1718;1496;1207;876;1358
13;Abruzzo;10689;11200;11196;11578;11317;11693;11519;11393;11490;11570;11490;11266;11756;11850;11682;11938;11844;12090;12252;12724;13352;13852;14045;14481;14568;14797;14605;14877;15504;15745;15730;16414;16174;16539;17267;17843;17970;18830;19211;20016;19813;20341;20770;20411;21255;21127;21249;21473;21655;21828;20463;19696;19482;19088;18811;18152;17989;17676;17591;17304;16333;16150;16300;16867;17122;17379;16594;16087;12033;13030;12626;12238;12292;14068;14057;12904;12757;11825;11964;11298;11299;9962;9848;9946;8282;7599;7055;6118;5429;4488;3738;3229;2679;2067;1116;602;457;487;396;249;417
14;Molise;2247;2272;2329;2483;2316;2503;2502;2488;2562;2580;2629;2656;2702;2810;2885;2879;2937;2964;3071;3189;3279;3490;3473;3466;3518;3641;3645;3550;3729;3730;3768;3765;3866;3779;3968;3980;4063;4201;4448;4578;4430;4523;4512;4489;4779;4763;4899;4947;4941;5060;4735;4663;4640;4717;4569;4337;4341;4327;4284;4320;3921;4051;3784;4073;4251;4140;3968;3656;2895;2827;2673;2609;2865;3285;3489;3017;3038;3013;2962;2978;2841;2535;2460;2479;2110;1896;1826;1542;1307;1107;952;875;721;528;247;165;134;138;123;75;124
15;Campania;52625;54599;55532;57314;59102;59867;60912;61329;61915;63963;64697;64027;65555;66679;66681;66734;66998;68272;69257;70825;73184;76737;76522;76277;76030;76922;73947;72924;73860;74119;74436;75474;74127;74724;76420;78450;79986;83062;85772;89010;87799;88172;88793;87515;89825;89792;91013;91684;91701;93862;88205;86083;84402;81083;79793;75906;75022;71720;72707;71736;66037;64010;64012;65275;65427;66897;64559;65269;53360;45440;49104;46906;44778;49047;47875;43935;41488;38301;38374;35352;34697;32020;30030;29294;24578;22194;19342;16571;14303;11625;9810;7763;6196;4641;2438;1469;1233;1015;874;597;953
