Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Pop,Year
Piemonte,35618,37202.0,37407.0,38251.0,39373.0,39592.0,39489.0,38883.0,38548.0,38345.0,38434.0,37731.0,37796.0,39019.0,37791.0,37883.0,37533.0,36969.0,37084.0,37472.0,37812.0,39124.0,39621.0,40530.0,40387.0,41776.0,41258.0,42572.0,44197.0,44684.0,46355.0,48670.0,49114.0,50477.0,52247.0,55750.0,58793.0,61629.0,65469.0,68203.0,68231.0,69795.0,71069.0,70578.0,72945.0,72494.0,72489.0,72917.0,72918.0,73891.0,69037.0,66479.0,65735.0,63771.0,62437.0,60650.0,60489.0,59387.0,58306.0,57388.0,55492.0,55731.0,54792.0,57200.0,57861.0,61037.0,59698.0,58387.0,44668.0,48038.0,47743.0,48378.0,48832.0,53277.0,52839.0,51327.0,46841.0,43199.0,43094.0,39971.0,37614.0,36138.0,34300.0,33638.0,29158.0,26000.0,23204.0,20147.0,17390.0,14643.0,12535.0,10498.0,8577.0,6541.0,3319.0,2016.0,1571.0,1395.0,1308.0,966.0,1467.0,4420924.0,2014
Valle D'Aosta/Vallée D'Aoste,1054,1171.0,1210.0,1194.0,1273.0,1236.0,1247.0,1249.0,1164.0,1173.0,1199.0,1147.0,1199.0,1226.0,1186.0,1134.0,1074.0,1165.0,1075.0,1067.0,1089.0,1165.0,1150.0,1209.0,1206.0,1285.0,1274.0,1291.0,1310.0,1344.0,1398.0,1425.0,1326.0,1490.0,1427.0,1740.0,1637.0,1784.0,1899.0,2005.0,2018.0,2051.0,2143.0,2098.0,2256.0,2181.0,2211.0,2239.0,2183.0,2319.0,2158.0,1954.0,1977.0,1809.0,1909.0,1721.0,1731.0,1698.0,1690.0,1672.0,1623.0,1560.0,1574.0,1598.0,1651.0,1711.0,1603.0,1532.0,1185.0,1279.0,1343.0,1380.0,1388.0,1436.0,1344.0,1348.0,1169.0,1089.0,1046.0,967.0,970.0,890.0,887.0,895.0,773.0,707.0,624.0,563.0,456.0,362.0,323.0,310.0,241.0,166.0,98.0,65.0,47.0,35.0,32.0,28.0,32.0,128245.0,2014
Lombardia,88203,92153.0,93733.0,96813.0,98760.0,98773.0,97390.0,97660.0,95148.0,95188.0,93212.0,91926.0,92728.0,93571.0,91094.0,90456.0,89478.0,88461.0,87081.0,87658.0,89304.0,91676.0,92235.0,93887.0,94976.0,98492.0,97502.0,99023.0,104484.0,107855.0,112312.0,117723.0,119716.0,122987.0,127117.0,135083.0,141738.0,147926.0,158442.0,164076.0,163771.0,165604.0,166099.0,164847.0,169238.0,168682.0,168042.0,171454.0,170203.0,169386.0,158220.0,150226.0,145652.0,140731.0,137188.0,130694.0,128401.0,126465.0,122764.0,120477.0,116788.0,116238.0,115309.0,120201.0,121359.0,125798.0,121980.0,125631.0,92511.0,99058.0,97724.0,99532.0,101664.0,109911.0,107164.0,102678.0,91844.0,83024.0,83806.0,77631.0,72455.0,68860.0,64584.0,61787.0,53900.0,48419.0,43025.0,37473.0,32704.0,28439.0,24140.0,19132.0,15985.0,12278.0,6383.0,3620.0,2962.0,2622.0,2435.0,1791.0,2740.0,9929769.0,2014
Trentino-Alto Adige/Südtirol,10345,10609.0,10703.0,10988.0,10819.0,11089.0,10981.0,11028.0,11171.0,11295.0,11017.0,10969.0,11228.0,11462.0,11394.0,11373.0,11369.0,11292.0,10985.0,11127.0,11071.0,11385.0,11330.0,11399.0,11298.0,11457.0,11331.0,11387.0,11664.0,11865.0,12349.0,12641.0,12621.0,12821.0,12912.0,13637.0,13773.0,14234.0,15058.0,15963.0,16113.0,16341.0,16919.0,16740.0,17641.0,17460.0,17383.0,17771.0,17947.0,17851.0,16741.0,15888.0,15849.0,15234.0,14731.0,13850.0,13552.0,13143.0,12614.0,12213.0,12009.0,11740.0,11472.0,11860.0,11291.0,11701.0,11432.0,12278.0,8726.0,10022.0,10604.0,10473.0,10500.0,9984.0,9613.0,9074.0,8120.0,7561.0,7431.0,7108.0,6799.0,6466.0,6148.0,6086.0,5272.0,4899.0,4424.0,3952.0,3583.0,3136.0,2837.0,2345.0,1923.0,1490.0,817.0,339.0,257.0,208.0,237.0,213.0,351.0,1052202.0,2014
Veneto,41844,44207.0,45008.0,46444.0,46945.0,48110.0,47348.0,47381.0,47049.0,47526.0,46454.0,45919.0,45595.0,47317.0,46163.0,46084.0,45843.0,45172.0,44259.0,44598.0,45013.0,46768.0,46407.0,47548.0,47434.0,48656.0,47072.0,48090.0,50999.0,51718.0,52696.0,55019.0,56380.0,58252.0,61119.0,65418.0,67954.0,71338.0,74952.0,79983.0,79425.0,80680.0,81811.0,82005.0,84082.0,83173.0,83935.0,84617.0,84838.0,85537.0,79963.0,76999.0,75454.0,71440.0,71047.0,66557.0,65271.0,64064.0,61922.0,60913.0,58852.0,58021.0,57252.0,59576.0,58846.0,60592.0,59194.0,64028.0,43698.0,50673.0,51564.0,49819.0,49442.0,51935.0,50365.0,48394.0,43502.0,40029.0,40088.0,37825.0,34112.0,32823.0,31015.0,30298.0,26038.0,24705.0,22895.0,19990.0,17672.0,15014.0,13249.0,10550.0,8583.0,6957.0,3451.0,2008.0,1603.0,1344.0,1356.0,1013.0,1526.0,4905712.0,2014
Friuli-Venezia Giulia,9388,9837.0,10006.0,10430.0,10549.0,10505.0,10731.0,10645.0,10426.0,10534.0,10405.0,10266.0,10436.0,10611.0,10197.0,10143.0,9982.0,10152.0,9778.0,9764.0,9929.0,10593.0,10535.0,10832.0,10955.0,11243.0,10828.0,11384.0,11918.0,12236.0,12456.0,13140.0,13320.0,13756.0,14402.0,15659.0,15845.0,16797.0,17813.0,19321.0,19188.0,19741.0,19800.0,19992.0,20243.0,20116.0,20358.0,20352.0,20670.0,21046.0,19964.0,18812.0,18449.0,17778.0,17630.0,16631.0,16307.0,16132.0,15835.0,15660.0,15510.0,15385.0,15282.0,16261.0,16108.0,17210.0,17157.0,18099.0,12374.0,14808.0,14560.0,14617.0,14790.0,15560.0,14737.0,14028.0,12686.0,11452.0,11148.0,10210.0,9650.0,9195.0,8666.0,8642.0,7592.0,6922.0,6461.0,6046.0,5292.0,4780.0,4213.0,3506.0,3088.0,2394.0,1186.0,603.0,518.0,443.0,438.0,330.0,586.0,1224984.0,2014
Liguria,10969,11613.0,11376.0,11803.0,12342.0,12613.0,12356.0,12480.0,12409.0,12507.0,12234.0,12523.0,12535.0,12685.0,12437.0,12524.0,12518.0,12752.0,12393.0,12636.0,12875.0,13608.0,13444.0,13508.0,13649.0,13928.0,13604.0,13449.0,14149.0,14334.0,14680.0,14737.0,15379.0,15326.0,16001.0,17408.0,18514.0,19541.0,21167.0,22540.0,23000.0,24126.0,24328.0,24619.0,25340.0,25583.0,25529.0,26617.0,27136.0,27375.0,25742.0,24842.0,24043.0,23285.0,23015.0,22171.0,21877.0,21280.0,20611.0,20697.0,20079.0,19532.0,19443.0,20812.0,21237.0,22526.0,23242.0,23509.0,17056.0,19294.0,18784.0,19387.0,19937.0,21486.0,21057.0,20800.0,19079.0,17534.0,17270.0,16276.0,15741.0,15187.0,14630.0,14407.0,12906.0,11554.0,10296.0,9140.0,7980.0,6796.0,5989.0,4971.0,4102.0,3235.0,1605.0,1125.0,870.0,744.0,683.0,493.0,766.0,1580322.0,2014
Emilia-Romagna,37987,39539.0,40339.0,41707.0,42406.0,42046.0,41713.0,41153.0,40395.0,39817.0,38797.0,38927.0,38686.0,39104.0,37461.0,37168.0,36920.0,36423.0,35804.0,36363.0,36748.0,37943.0,38629.0,39414.0,39435.0,40272.0,40640.0,41737.0,44549.0,46200.0,48168.0,50227.0,51362.0,53539.0,56180.0,60357.0,62978.0,66421.0,70011.0,73525.0,73555.0,74125.0,74597.0,73509.0,74608.0,74114.0,73041.0,73949.0,73045.0,74358.0,69424.0,67184.0,65724.0,63767.0,62292.0,59429.0,59141.0,58331.0,55925.0,54538.0,52109.0,51429.0,51012.0,53439.0,54093.0,57115.0,56870.0,57723.0,40880.0,45516.0,45264.0,44609.0,45666.0,49474.0,48575.0,48264.0,43567.0,39569.0,41153.0,39588.0,36415.0,33521.0,32823.0,32227.0,28293.0,26292.0,24067.0,21135.0,19652.0,16812.0,14830.0,12087.0,10145.0,7779.0,4201.0,2330.0,1841.0,1706.0,1534.0,1126.0,1764.0,4432241.0,2014
Toscana,29465,31284.0,31665.0,32513.0,32619.0,33632.0,33427.0,32946.0,32822.0,32771.0,31965.0,32117.0,31986.0,32148.0,30902.0,31080.0,30820.0,30510.0,30347.0,30812.0,31237.0,32711.0,33088.0,34176.0,34208.0,35890.0,35093.0,35458.0,37692.0,38591.0,39852.0,41203.0,42036.0,43536.0,45680.0,48822.0,50823.0,53568.0,56298.0,59006.0,59467.0,60231.0,60640.0,59698.0,61388.0,60588.0,60893.0,61893.0,62029.0,62525.0,58499.0,56590.0,55322.0,53795.0,52471.0,50636.0,49735.0,49009.0,48015.0,47568.0,45271.0,45038.0,44925.0,46396.0,48440.0,51875.0,51655.0,52040.0,40524.0,40300.0,40688.0,38950.0,40141.0,44905.0,43180.0,43357.0,38834.0,35243.0,35755.0,33093.0,31383.0,29411.0,29144.0,28529.0,24946.0,23299.0,21252.0,18639.0,16709.0,14705.0,12564.0,10252.0,8780.0,6863.0,3417.0,1853.0,1399.0,1345.0,1213.0,896.0,1293.0,3744293.0,2014
Umbria,7316,7566.0,7623.0,7858.0,7840.0,8276.0,8159.0,8057.0,8016.0,7766.0,7672.0,7694.0,7590.0,7735.0,7592.0,7509.0,7464.0,7510.0,7591.0,7605.0,7895.0,8362.0,8274.0,8544.0,8809.0,9204.0,8984.0,9212.0,9504.0,9558.0,10325.0,10151.0,10508.0,10635.0,11127.0,11650.0,12076.0,12562.0,13143.0,13715.0,13650.0,13569.0,13677.0,13469.0,13949.0,13971.0,13808.0,13882.0,14328.0,14459.0,13501.0,13143.0,13092.0,13023.0,12420.0,11742.0,11540.0,11689.0,11470.0,11264.0,11005.0,10398.0,10962.0,11088.0,11582.0,12307.0,11449.0,11077.0,8859.0,9407.0,9884.0,9145.0,9260.0,10266.0,9957.0,10226.0,9072.0,8290.0,8438.0,8237.0,7754.0,7072.0,7312.0,7118.0,5994.0,5576.0,5247.0,4764.0,4150.0,3640.0,3111.0,2492.0,2142.0,1617.0,862.0,480.0,417.0,323.0,294.0,191.0,311.0,892099.0,2014
